path,status,chars,mojibake_marker_count
cases\cupboard\docs\SETUP_AND_USAGE.md,ok,6718,0
cases\cupboard\README.md,ok,6261,0
cases\cupboard\reports\benchmark_report.md,ok,3392,0
cases\cupboard\reports\tool_landscape.md,ok,2086,0
cases\cupboard\videos\cupboard-cad-comparison\AGENTS.md,ok,2082,0
cases\cupboard\videos\cupboard-cad-comparison\CLAUDE.md,ok,3650,0
cases\cupboard\videos\cupboard-cad-comparison\DESIGN.md,ok,1087,0
cases\cupboard\videos\cupboard-cad-comparison\index.html,ok,27567,0
cases\cupboard\videos\cupboard-cad-comparison\renders\work-7162dc59-5176-4b99-ab21-498dace75a9a\compiled\index.html,ok,1330982,0
cases\cupboard\videos\cupboard-cad-comparison\renders\work-a65224ee-d657-4f94-95c0-6d5873afe974\compiled\index.html,ok,1328874,0
cases\kitchen-trash-cupboard\concepts\README.md,ok,503,0
cases\kitchen-trash-cupboard\docs\SETUP_AND_USAGE.md,ok,6812,0
cases\kitchen-trash-cupboard\README.md,ok,6514,0
cases\kitchen-trash-cupboard\reports\benchmark_report.md,ok,3850,0
cases\kitchen-trash-cupboard\reports\tool_landscape.md,ok,2073,0
cases\kitchen-trash-cupboard\videos\kitchen-trash-cupboard-comparison\AGENTS.md,ok,2082,0
cases\kitchen-trash-cupboard\videos\kitchen-trash-cupboard-comparison\CLAUDE.md,ok,3650,0
cases\kitchen-trash-cupboard\videos\kitchen-trash-cupboard-comparison\DESIGN.md,ok,1087,0
cases\kitchen-trash-cupboard\videos\kitchen-trash-cupboard-comparison\index.html,ok,27940,0
cases\kitchen-trash-cupboard\videos\kitchen-trash-cupboard-comparison\RENDERING.md,ok,1951,0
cases\kitchen-trash-cupboard-concept1\concepts\README.md,ok,503,0
cases\kitchen-trash-cupboard-concept1\docs\SETUP_AND_USAGE.md,ok,6073,0
cases\kitchen-trash-cupboard-concept1\README.md,ok,4778,0
cases\kitchen-trash-cupboard-concept1\reports\benchmark_report.md,ok,6944,0
cases\kitchen-trash-cupboard-concept1\reports\manager_audit_note.md,ok,2985,0
cases\kitchen-trash-cupboard-concept1\reports\tool_landscape.md,ok,2073,0
cases\kitchen-trash-cupboard-concept1\videos\kitchen-trash-cupboard-concept1-comparison\DESIGN.md,ok,1096,0
cases\kitchen-trash-cupboard-concept1\videos\kitchen-trash-cupboard-concept1-comparison\index.html,ok,30373,0
cases\kitchen-trash-cupboard-concept1\videos\kitchen-trash-cupboard-concept1-comparison\RENDERING.md,ok,3016,0
docs\CASE_LAYOUT.md,ok,732,0
README.md,ok,1439,0
