source,path,status,target
cases\cupboard\docs\SETUP_AND_USAGE.md,../reports/benchmark_report.md,ok,cases\cupboard\reports\benchmark_report.md
cases\cupboard\docs\SETUP_AND_USAGE.md,../reports/measurements.csv,ok,cases\cupboard\reports\measurements.csv
cases\cupboard\docs\SETUP_AND_USAGE.md,../reports/tool_landscape.md,ok,cases\cupboard\reports\tool_landscape.md
cases\cupboard\docs\SETUP_AND_USAGE.md,../reports/step_imports.csv,ok,cases\cupboard\reports\step_imports.csv
cases\cupboard\docs\SETUP_AND_USAGE.md,../reports/openscad_step_probe.csv,ok,cases\cupboard\reports\openscad_step_probe.csv
cases\cupboard\docs\SETUP_AND_USAGE.md,../reports/npm_audit_summary.csv,ok,cases\cupboard\reports\npm_audit_summary.csv
cases\cupboard\docs\SETUP_AND_USAGE.md,../reports/screenshots/cadquery.png,ok,cases\cupboard\reports\screenshots\cadquery.png
cases\cupboard\docs\SETUP_AND_USAGE.md,../reports/screenshots/build123d.png,ok,cases\cupboard\reports\screenshots\build123d.png
cases\cupboard\docs\SETUP_AND_USAGE.md,../reports/screenshots/jscad.png,ok,cases\cupboard\reports\screenshots\jscad.png
cases\cupboard\docs\SETUP_AND_USAGE.md,../reports/screenshots/openscad.png,ok,cases\cupboard\reports\screenshots\openscad.png
cases\cupboard\docs\SETUP_AND_USAGE.md,../reports/screenshots/forgecad.png,ok,cases\cupboard\reports\screenshots\forgecad.png
cases\cupboard\README.md,reports/benchmark_report.md,ok,cases\cupboard\reports\benchmark_report.md
cases\cupboard\README.md,reports/measurements.csv,ok,cases\cupboard\reports\measurements.csv
cases\cupboard\README.md,reports/screenshots/,ok,cases\cupboard\reports\screenshots
cases\cupboard\README.md,videos/cupboard-cad-comparison/,ok,cases\cupboard\videos\cupboard-cad-comparison
cases\cupboard\README.md,docs/SETUP_AND_USAGE.md,ok,cases\cupboard\docs\SETUP_AND_USAGE.md
cases\cupboard\README.md,videos/cupboard-cad-comparison/,ok,cases\cupboard\videos\cupboard-cad-comparison
cases\cupboard\README.md,reports/openscad_step_probe.csv,ok,cases\cupboard\reports\openscad_step_probe.csv
cases\cupboard\README.md,reports/npm_audit_summary.csv,ok,cases\cupboard\reports\npm_audit_summary.csv
cases\cupboard\README.md,cupboard_benchmark/spec.py,ok,cases\cupboard\cupboard_benchmark\spec.py
cases\cupboard\README.md,cupboard_benchmark/exports.py,ok,cases\cupboard\cupboard_benchmark\exports.py
cases\cupboard\README.md,scripts/run_all.py,ok,cases\cupboard\scripts\run_all.py
cases\cupboard\README.md,scripts/install_openscad.ps1,ok,cases\cupboard\scripts\install_openscad.ps1
cases\cupboard\README.md,scripts/score_outputs.py,ok,cases\cupboard\scripts\score_outputs.py
cases\cupboard\README.md,scripts/generate_hyperframes_assets.py,ok,cases\cupboard\scripts\generate_hyperframes_assets.py
cases\cupboard\README.md,scripts/verify_markdown_links.py,ok,cases\cupboard\scripts\verify_markdown_links.py
cases\cupboard\README.md,reports/tool_landscape.md,ok,cases\cupboard\reports\tool_landscape.md
cases\cupboard\README.md,docs/SETUP_AND_USAGE.md,ok,cases\cupboard\docs\SETUP_AND_USAGE.md
cases\kitchen-trash-cupboard\docs\SETUP_AND_USAGE.md,../reports/benchmark_report.md,ok,cases\kitchen-trash-cupboard\reports\benchmark_report.md
cases\kitchen-trash-cupboard\docs\SETUP_AND_USAGE.md,../reports/measurements.csv,ok,cases\kitchen-trash-cupboard\reports\measurements.csv
cases\kitchen-trash-cupboard\docs\SETUP_AND_USAGE.md,../reports/tool_landscape.md,ok,cases\kitchen-trash-cupboard\reports\tool_landscape.md
cases\kitchen-trash-cupboard\docs\SETUP_AND_USAGE.md,../reports/step_imports.csv,ok,cases\kitchen-trash-cupboard\reports\step_imports.csv
cases\kitchen-trash-cupboard\docs\SETUP_AND_USAGE.md,../reports/openscad_step_probe.csv,ok,cases\kitchen-trash-cupboard\reports\openscad_step_probe.csv
cases\kitchen-trash-cupboard\docs\SETUP_AND_USAGE.md,../reports/npm_audit_summary.csv,ok,cases\kitchen-trash-cupboard\reports\npm_audit_summary.csv
cases\kitchen-trash-cupboard\docs\SETUP_AND_USAGE.md,../reports/screenshots/cadquery.png,ok,cases\kitchen-trash-cupboard\reports\screenshots\cadquery.png
cases\kitchen-trash-cupboard\docs\SETUP_AND_USAGE.md,../reports/screenshots/build123d.png,ok,cases\kitchen-trash-cupboard\reports\screenshots\build123d.png
cases\kitchen-trash-cupboard\docs\SETUP_AND_USAGE.md,../reports/screenshots/jscad.png,ok,cases\kitchen-trash-cupboard\reports\screenshots\jscad.png
cases\kitchen-trash-cupboard\docs\SETUP_AND_USAGE.md,../reports/screenshots/openscad.png,ok,cases\kitchen-trash-cupboard\reports\screenshots\openscad.png
cases\kitchen-trash-cupboard\docs\SETUP_AND_USAGE.md,../reports/screenshots/forgecad.png,ok,cases\kitchen-trash-cupboard\reports\screenshots\forgecad.png
cases\kitchen-trash-cupboard\README.md,reports/benchmark_report.md,ok,cases\kitchen-trash-cupboard\reports\benchmark_report.md
cases\kitchen-trash-cupboard\README.md,reports/measurements.csv,ok,cases\kitchen-trash-cupboard\reports\measurements.csv
cases\kitchen-trash-cupboard\README.md,reports/screenshots/,ok,cases\kitchen-trash-cupboard\reports\screenshots
cases\kitchen-trash-cupboard\README.md,videos/kitchen-trash-cupboard-comparison/,ok,cases\kitchen-trash-cupboard\videos\kitchen-trash-cupboard-comparison
cases\kitchen-trash-cupboard\README.md,docs/SETUP_AND_USAGE.md,ok,cases\kitchen-trash-cupboard\docs\SETUP_AND_USAGE.md
cases\kitchen-trash-cupboard\README.md,videos/kitchen-trash-cupboard-comparison/,ok,cases\kitchen-trash-cupboard\videos\kitchen-trash-cupboard-comparison
