method,label,path,exists,size,mtime_utc,sha256_12,freshness
CadQuery,source,scripts\generate_cadquery.py,True,1856,2026-04-30T02:36:43.528176+00:00,a9b71e088d8c,source_reference
CadQuery,step,outputs\cadquery\cupboard.step,True,2625793,2026-05-01T14:29:43.726639+00:00,8619622bfdf3,current_window
CadQuery,stl,outputs\cadquery\cupboard.stl,True,90084,2026-05-01T14:29:43.862771+00:00,954bf027cbd1,current_window
CadQuery,obj,outputs\cadquery\cupboard.obj,True,60752,2026-05-01T14:29:43.866326+00:00,a990e6e7e763,current_window
CadQuery,preview,outputs\cadquery\cupboard_preview.png,True,29054,2026-05-01T14:29:43.934236+00:00,5bdb413ea729,current_window
CadQuery,screenshot,reports\screenshots\cadquery.png,True,29054,2026-05-01T14:33:13.983478+00:00,5bdb413ea729,current_window
CadQuery,concept_comparison,reports\concept_vs_cadquery.png,True,941686,2026-05-01T14:34:09.885670+00:00,68a6543b4102,current_window
build123d,source,scripts\generate_build123d.py,True,1564,2026-04-30T02:36:43.487198+00:00,65943b9599c7,source_reference
build123d,step,outputs\build123d\cupboard.step,True,2781799,2026-05-01T14:29:48.691731+00:00,a3d088ba0238,current_window
build123d,stl,outputs\build123d\cupboard.stl,True,90084,2026-05-01T14:29:48.846165+00:00,954bf027cbd1,current_window
build123d,obj,outputs\build123d\cupboard.obj,True,60752,2026-05-01T14:29:48.849206+00:00,a990e6e7e763,current_window
build123d,preview,outputs\build123d\cupboard_preview.png,True,28943,2026-05-01T14:29:48.899825+00:00,b023f6012f44,current_window
build123d,screenshot,reports\screenshots\build123d.png,True,28943,2026-05-01T14:33:14.007150+00:00,b023f6012f44,current_window
build123d,concept_comparison,reports\concept_vs_build123d.png,True,941927,2026-05-01T14:34:10.048865+00:00,c0bdb15ce4ec,current_window
JSCAD,source,designs\cupboard.jscad,True,45097,2026-05-01T14:29:59.331582+00:00,1c973527e1ef,source_reference
JSCAD,step,,False,0,,,missing
JSCAD,stl,outputs\jscad\cupboard.stl,True,145284,2026-05-01T14:30:00.976690+00:00,4bc1f3835867,current_window
JSCAD,obj,outputs\jscad\cupboard.obj,True,124189,2026-05-01T14:30:01.850064+00:00,6610d7b7ce6b,current_window
JSCAD,preview,outputs\jscad\cupboard_preview.png,True,29087,2026-05-01T14:30:02.119133+00:00,c5974558eace,current_window
JSCAD,screenshot,reports\screenshots\jscad.png,True,29087,2026-05-01T14:33:14.027757+00:00,c5974558eace,current_window
JSCAD,concept_comparison,reports\concept_vs_jscad.png,True,941443,2026-05-01T14:34:10.208320+00:00,2dcfdf2d1530,current_window
OpenSCAD,source,designs\cupboard.scad,True,17821,2026-05-01T14:29:49.736064+00:00,beef16fb711c,source_reference
OpenSCAD,step,,False,0,,,missing
OpenSCAD,stl,outputs\openscad\cupboard.stl,True,317461,2026-05-01T14:29:57.590833+00:00,7e491a360afa,current_window
OpenSCAD,obj,outputs\openscad\cupboard.obj,True,77496,2026-05-01T14:29:59.081886+00:00,173a47f8735f,current_window
OpenSCAD,preview,outputs\openscad\cupboard_preview.png,True,29300,2026-05-01T14:29:49.792267+00:00,33fd9346b5b0,current_window
OpenSCAD,screenshot,reports\screenshots\openscad.png,True,59604,2026-05-01T14:33:14.040331+00:00,dd6c6f1d957e,current_window
OpenSCAD,concept_comparison,reports\concept_vs_openscad.png,True,910549,2026-05-01T14:34:10.367459+00:00,84873f9f0595,current_window
ForgeCAD,source,designs\cupboard.forge.js,True,33595,2026-05-01T14:30:02.250336+00:00,bbda81eaf9a1,source_reference
ForgeCAD,step,,False,0,,,missing
ForgeCAD,stl,outputs\forgecad\cupboard.stl,True,90084,2026-05-01T14:30:05.652546+00:00,7012a2f1c245,current_window
ForgeCAD,obj,outputs\forgecad\cupboard.obj,True,73075,2026-05-01T14:33:13.603962+00:00,83dccc326c25,current_window
ForgeCAD,preview,outputs\forgecad\cupboard_preview.png,True,29090,2026-05-01T14:33:13.651473+00:00,389a5d53f9f9,current_window
ForgeCAD,screenshot,reports\screenshots\forgecad.png,True,29090,2026-05-01T14:33:14.062058+00:00,389a5d53f9f9,current_window
ForgeCAD,concept_comparison,reports\concept_vs_forgecad.png,True,941686,2026-05-01T14:34:10.541537+00:00,8ed80c2fea94,current_window
