source,path,status,width,height,nonblank
cases\kitchen-trash-cupboard-concept1\reports\benchmark_report.md,../concepts/exports/concept_sheet_01_family_unit.png,ok,1536,1024,True
cases\kitchen-trash-cupboard-concept1\reports\benchmark_report.md,concept_vs_cadquery.png,ok,2027,880,True
cases\kitchen-trash-cupboard-concept1\reports\benchmark_report.md,concept_vs_build123d.png,ok,2027,880,True
cases\kitchen-trash-cupboard-concept1\reports\benchmark_report.md,concept_vs_jscad.png,ok,2027,880,True
cases\kitchen-trash-cupboard-concept1\reports\benchmark_report.md,concept_vs_openscad.png,ok,2027,880,True
cases\kitchen-trash-cupboard-concept1\reports\benchmark_report.md,concept_vs_forgecad.png,ok,2027,880,True
cases\kitchen-trash-cupboard-concept1\reports\benchmark_report.md,screenshots/cadquery.png,ok,1400,1200,True
cases\kitchen-trash-cupboard-concept1\reports\benchmark_report.md,screenshots/build123d.png,ok,1400,1200,True
cases\kitchen-trash-cupboard-concept1\reports\benchmark_report.md,screenshots/jscad.png,ok,1400,1200,True
cases\kitchen-trash-cupboard-concept1\reports\benchmark_report.md,screenshots/openscad.png,ok,1400,1200,True
cases\kitchen-trash-cupboard-concept1\reports\benchmark_report.md,screenshots/forgecad.png,ok,1400,1200,True
cases\kitchen-trash-cupboard-concept1\README.md,reports/screenshots/cadquery.png,ok,1400,1200,True
cases\kitchen-trash-cupboard-concept1\README.md,reports/screenshots/build123d.png,ok,1400,1200,True
cases\kitchen-trash-cupboard-concept1\README.md,reports/screenshots/jscad.png,ok,1400,1200,True
cases\kitchen-trash-cupboard-concept1\README.md,reports/screenshots/openscad.png,ok,1400,1200,True
cases\kitchen-trash-cupboard-concept1\README.md,reports/screenshots/forgecad.png,ok,1400,1200,True
